ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600602.SH,1991-04-18,439.7,439.7,439.7,439.7,441.9,-2.2,-0.5,30.0,0.01,2023-08-01
600653.SH,1991-04-18,37.1,37.1,37.1,37.1,37.3,-0.2,-0.54,15.0,0.004,2023-08-01
600654.SH,1991-04-18,372.3,372.3,372.3,372.3,374.2,-1.9,-0.51,13.0,4.0,2023-08-01
600656.SH,1991-04-18,3.64,3.64,3.64,3.64,3.62,0.02,0.55,102.0,37.0,2023-08-01
600651.SH,1991-04-18,366.9,366.9,363.3,363.3,365.1,-1.8,-0.49,14.0,0.002,2023-08-01
000001.SZ,1991-04-18,45.92,45.92,45.92,45.92,46.15,-0.23,-0.5,4.0,18.0,2023-08-01
600602.SH,1991-04-19,437.5,437.5,437.5,437.5,439.7,-2.2,-0.5,420.0,183.0,2023-08-01
600653.SH,1991-04-19,36.9,37.3,36.9,37.3,37.1,0.2,0.54,18.0,65.0,2023-08-01
600652.SH,1991-04-19,257.5,257.5,257.5,257.5,253.6,3.9,1.54,1.0,1.0,2023-08-01
600656.SH,1991-04-19,3.66,3.66,3.66,3.66,3.64,0.02,0.55,100.0,36.0,2023-08-01
600651.SH,1991-04-19,361.5,365.1,361.5,365.1,363.3,1.8,0.5,82.0,120.0,2023-08-01
000001.SZ,1991-04-19,45.69,45.69,45.69,45.69,45.92,-0.23,-0.5,2.0,9.0,2023-08-01
000002.SZ,1991-04-19,12.19,12.19,12.19,12.19,12.31,-0.12,-0.97,3.0,18.0,2023-08-01
600602.SH,1991-04-22,435.3,435.3,435.3,435.3,437.5,-2.2,-0.5,269.0,0.002,2023-08-01
600653.SH,1991-04-22,37.5,37.5,37.1,37.5,37.3,0.2,0.54,34.0,0.001,2023-08-01
600654.SH,1991-04-22,370.4,370.4,370.4,370.4,372.3,-1.9,-0.51,35.0,12.0,2023-08-01
600656.SH,1991-04-22,3.67,3.67,3.67,3.67,3.66,0.01,0.27,67.0,24.0,2023-08-01
600651.SH,1991-04-22,364.0,364.0,363.3,363.3,365.1,-1.8,-0.49,24.0,0.002,2023-08-01
